output_byte,character_escaped,byte_hex,input_hex_high_position,input_hex_low_position
419,' ',20,1054,1695
420,'T',54,2336,93
421,'h',68,734,1375
422,'e',65,2016,2657
423,' ',20,414,1055
424,'m',6d,1696,2337
425,'a',61,94,735
426,'n',6e,1376,2017
427,'i',69,2658,415
428,'f',66,1056,1697
429,'e',65,2338,95
430,'s',73,736,1377
431,'t',74,2018,2659
432,'o',6f,416,1057
433,' ',20,1698,2339
434,'i',69,96,737
435,'s',73,1378,2019
436,' ',20,2660,417
437,'v',76,1058,1699
438,'e',65,2340,97
439,'r',72,738,1379
440,'y',79,2020,2661
441,' ',20,418,1059
442,'s',73,1700,2341
443,'i',69,98,739
444,'m',6d,1380,2021
445,'p',70,2662,419
446,'l',6c,1060,1701
447,'e',65,2342,99
448,'.',2e,740,1381
449,' ',20,2022,2663
450,' ',20,420,1061
451,'I',49,1702,2343
452,'t',74,100,741
453,' ',20,1382,2023
454,'r',72,2664,421
455,'e',65,1062,1703
456,'q',71,2344,101
457,'u',75,742,1383
458,'i',69,2024,2665
459,'r',72,422,1063
460,'e',65,1704,2345
461,'s',73,102,743
462,' ',20,1384,2025
463,'t',74,2666,423
464,'h',68,1064,1705
465,'e',65,2346,103
466,' ',20,744,1385
467,'f',66,2026,2667
468,'o',6f,424,1065
469,'l',6c,1706,2347
470,'l',6c,104,745
471,'o',6f,1386,2027
472,'w',77,2668,425
473,'i',69,1066,1707
474,'n',6e,2348,105
475,'g',67,746,1387
476,'\n',0a,2028,2669
477,'\n',0a,426,1067
478,'1',31,1708,2349
479,'-',2d,106,747
480,' ',20,1388,2029
481,'s',73,2670,427
482,'o',6f,1068,1709
483,'m',6d,2350,107
484,'e',65,748,1389
485,' ',20,2030,2671
486,'d',64,428,1069
487,'e',65,1710,2351
488,'v',76,108,749
489,' ',20,1390,2031
490,'t',74,2672,429
491,'o',6f,1070,1711
492,' ',20,2352,109
493,'p',70,750,1391
494,'u',75,2032,2673
495,'t',74,430,1071
496,' ',20,1712,2353
497,'u',75,110,751
498,'p',70,1392,2033
499,' ',20,2674,431
500,'a',61,1072,1713
501,' ',20,2354,111
502,'g',67,752,1393
503,'i',69,2034,2675
504,'t',74,432,1073
505,'h',68,1714,2355
506,'u',75,112,753
507,'b',62,1394,2035
508,'.',2e,2676,433
509,' ',20,1074,1715
510,'\n',0a,2356,113
511,'2',32,754,1395
512,'-',2d,2036,2677
513,' ',20,434,1075
514,'t',74,1716,2357
515,'h',68,114,755
516,'a',61,1396,2037
517,'t',74,2678,435
518,' ',20,1076,1717
519,'d',64,2358,115
520,'e',65,756,1397
521,'v',76,2038,2679
522,' ',20,436,1077
523,'a',61,1718,2359
524,'n',6e,116,757
525,'d',64,1398,2039
526,' ',20,2680,437
527,'o',6f,1078,1719
528,'t',74,2360,117
529,'h',68,758,1399
530,'e',65,2040,2681
531,'r',72,438,1079
532,'s',73,1720,2361
533,' ',20,118,759
534,'c',63,1400,2041
535,'o',6f,2682,439
536,'n',6e,1080,1721
537,'t',74,2362,119
538,'r',72,760,1401
539,'i',69,2042,2683
540,'b',62,440,1081
541,'u',75,1722,2363
542,'t',74,120,761
543,'e',65,1402,2043
544,' ',20,2684,441
545,'t',74,1082,1723
546,'o',6f,2364,121
547,' ',20,762,1403
548,'i',69,2044,2685
549,'t',74,442,1083
550,' ',20,1724,2365
551,'a',61,122,763
552,'c',63,1404,2045
553,'c',63,2686,443
554,'o',6f,1084,1725
555,'r',72,2366,123
556,'d',64,764,1405
557,'i',69,2046,2687
558,'n',6e,444,1085
559,'g',67,1726,2367
560,' ',20,124,765
561,'t',74,1406,2047
562,'o',6f,2688,445
563,' ',20,1086,1727
564,'t',74,2368,125
565,'h',68,766,1407
566,'e',65,2048,2689
567,' ',20,446,1087
568,'m',6d,1728,2369
569,'a',61,126,767
570,'n',6e,1408,2049
571,'i',69,2690,447
572,'f',66,1088,1729
573,'e',65,2370,127
574,'s',73,768,1409
575,'t',74,2050,2691
576,'o',6f,448,1089
577,' ',20,1730,2371
578,'(',28,128,769
579,'o',6f,1410,2051
580,'r',72,2692,449
581,' ',20,1090,1731
582,'i',69,2372,129
583,'f',66,770,1411
584,' ',20,2052,2693
585,'c',63,450,1091
586,'l',6c,1732,2373
587,'e',65,130,771
588,'a',61,1412,2053
589,'r',72,2694,451
590,' ',20,1092,1733
591,'c',63,2374,131
592,'h',68,772,1413
593,'a',61,2054,2695
594,'n',6e,452,1093
595,'g',67,1734,2375
596,'e',65,132,773
597,'s',73,1414,2055
598,' ',20,2696,453
599,'w',77,1094,1735
600,'e',65,2376,133
601,'r',72,774,1415
602,'e',65,2056,2697
603,' ',20,454,1095
604,'a',61,1736,2377
605,'g',67,134,775
606,'r',72,1416,2057
607,'e',65,2698,455
608,'e',65,1096,1737
609,'d',64,2378,135
610,')',29,776,1417
611,'\n',0a,2058,2699
612,'3',33,456,1097
613,'-',2d,1738,2379
614,' ',20,136,777
615,'e',65,1418,2059
616,'v',76,2700,457
617,'e',65,1098,1739
618,'n',6e,2380,137
619,'t',74,778,1419
620,'u',75,2060,2701
621,'a',61,458,1099
622,'l',6c,1740,2381
623,'l',6c,138,779
624,'y',79,1420,2061
625,' ',20,2702,459
626,'w',77,1100,1741
627,'e',65,2382,139
628,' ',20,780,1421
629,'h',68,2062,2703
630,'a',61,460,1101
631,'v',76,1742,2383
632,'e',65,140,781
633,' ',20,1422,2063
634,'a',61,2704,461
635,' ',20,1102,1743
636,'t',74,2384,141
637,'h',68,782,1423
638,'i',69,2064,2705
639,'n',6e,462,1103
640,'g',67,1744,2385
641,' ',20,142,783
642,'t',74,1424,2065
643,'h',68,2706,463
644,'a',61,1104,1745
645,'t',74,2386,143
646,' ',20,784,1425
647,'i',69,2066,2707
648,'s',73,464,1105
649,' ',20,1746,2387
650,'s',73,144,785
651,'o',6f,1426,2067
652,'l',6c,2708,465
653,'i',69,1106,1747
654,'d',64,2388,145
655,"','",2c,786,1427
656,' ',20,2068,2709
657,'p',70,466,1107
658,'e',65,1748,2389
659,'e',65,146,787
660,'r',72,1428,2069
661,' ',20,2710,467
662,'r',72,1108,1749
663,'e',65,2390,147
664,'v',76,788,1429
665,'i',69,2070,2711
666,'e',65,468,1109
667,'w',77,1750,2391
668,'e',65,148,789
669,'d',64,1430,2071
670,"','",2c,2712,469
671,' ',20,1110,1751
672,'c',63,2392,149
673,'o',6f,790,1431
674,'n',6e,2072,2713
675,'t',74,470,1111
676,'r',72,1752,2393
677,'i',69,150,791
678,'b',62,1432,2073
679,'u',75,2714,471
680,'t',74,1112,1753
681,'e',65,2394,151
682,'d',64,792,1433
683,' ',20,2074,2715
684,'t',74,472,1113
685,'o',6f,1754,2395
686,' ',20,152,793
687,'b',62,1434,2075
688,'y',79,2716,473
689,' ',20,1114,1755
690,'m',6d,2396,153
691,'a',61,794,1435
692,'n',6e,2076,2717
693,'y',79,474,1115
694,' ',20,1756,2397
695,'a',61,154,795
696,'n',6e,1436,2077
697,'d',64,2718,475
698,' ',20,1116,1757
699,'i',69,2398,155
700,'t',74,796,1437
701,' ',20,2078,2719
702,'i',69,476,1117
703,'s',73,1758,2399
704,' ',20,156,797
705,'a',61,1438,2079
706,'g',67,2720,477
707,'r',72,1118,1759
708,'e',65,2400,157
709,'e',65,798,1439
710,'d',64,2080,2721
711,' ',20,478,1119
712,'t',74,1760,2401
713,'o',6f,158,799
714,' ',20,1440,2081
715,'b',62,2722,479
716,'e',65,1120,1761
717,' ',20,2402,159
718,'r',72,800,1441
719,'e',65,2082,2723
720,'l',6c,480,1121
721,'e',65,1762,2403
722,'a',61,160,801
723,'s',73,1442,2083
724,'e',65,2724,481
725,'d',64,1122,1763
726,'\n',0a,2404,161
727,'\n',0a,802,1443
728,'i',69,2084,2725
729,'f',66,482,1123
730,' ',20,1764,2405
731,'y',79,162,803
732,'o',6f,1444,2085
733,'u',75,2726,483
734,' ',20,1124,1765
735,'a',61,2406,163
736,'r',72,804,1445
737,'e',65,2086,2727
738,' ',20,484,1125
739,'w',77,1766,2407
740,'a',61,164,805
741,'i',69,1446,2087
742,'t',74,2728,485
743,'i',69,1126,1767
744,'n',6e,2408,165
745,'g',67,806,1447
746,' ',20,2088,2729
747,'o',6f,486,1127
748,'n',6e,1768,2409
749,' ',20,166,807
750,'s',73,1448,2089
751,'o',6f,2730,487
752,'m',6d,1128,1769
753,'e',65,2410,167
