output_byte,character_escaped,byte_hex,input_hex_high_position,input_hex_low_position
1359,'d',64,622,1263
1360,' ',20,1904,2545
1361,'d',64,302,943
1362,'i',69,1584,2225
1363,'e',65,2866,623
1364,'.',2e,1264,1905
1365,' ',20,2546,303
1366,'w',77,944,1585
1367,'e',65,2226,2867
1368,' ',20,624,1265
1369,'d',64,1906,2547
1370,'o',6f,304,945
1371,' ',20,1586,2227
1372,'t',74,2868,625
1373,'h',68,1266,1907
1374,'i',69,2548,305
1375,'s',73,946,1587
1376,' ',20,2228,2869
1377,'f',66,626,1267
1378,'o',6f,1908,2549
1379,'r',72,306,947
1380,' ',20,1588,2229
1381,'t',74,2870,627
1382,'e',65,1268,1909
1383,'h',68,2550,307
1384,' ',20,948,1589
1385,'c',63,2230,2871
1386,'o',6f,628,1269
1387,'m',6d,1910,2551
1388,'m',6d,308,949
1389,'u',75,1590,2231
1390,'n',6e,2872,629
1391,'i',69,1270,1911
1392,'t',74,2552,309
1393,'y',79,950,1591
1394,'.',2e,2232,2873
1395,' ',20,630,1271
1396,'C',43,1912,2553
1397,'A',41,310,951
1398,'W',57,1592,2233
1399,' ',20,2874,631
1400,'i',69,1272,1913
1401,'s',73,2554,311
1402,' ',20,952,1593
1403,'e',65,2234,2875
1404,'x',78,632,1273
1405,'a',61,1914,2555
1406,'c',63,312,953
1407,'t',74,1594,2235
1408,'l',6c,2876,633
1409,'y',79,1274,1915
1410,' ',20,2556,313
1411,'w',77,954,1595
1412,'h',68,2236,2877
1413,'a',61,634,1275
1414,'t',74,1916,2557
1415,' ',20,314,955
1416,'i',69,1596,2237
1417,'t',74,2878,635
1418,' ',20,1276,1917
1419,'s',73,2558,315
1420,'a',61,956,1597
1421,'y',79,2238,2879
1422,'s',73,636,1277
1423,' ',20,1918,2559
1424,'i',69,316,957
1425,'t',74,1598,2239
1426,' ',20,2880,637
1427,'i',69,1278,1919
1428,'s',73,2560,317
1429,'.',2e,958,1599
1430,'\n',0a,2240,2881
1431,'\n',0a,638,1279
1432,'g',67,1920,2561
1433,'l',6c,318,959
1434,' ',20,1600,2241
1435,'a',61,2882,639
1436,'n',6e,1280,1921
1437,'o',6f,2562,319
1438,'n',6e,960,1601
1439,'s',73,2242,2883
1440,'.',2e,640,1281
1441,' ',20,1922,2563
